x,y,velocity,point_count,deviation
161104.8357,-926355.2946,808.9497414,70,1064.320072
161181.5674,-925696.3315,916.9463443,13,410.9232702
161227.7994,-925151.0334,1165.58802,7,130.7750327
161280.2755,-925251.2774,1181.583982,14,27.65262626
161334.5599,-925265.6281,1177.338298,21,10.2200692
161383.1223,-925221.0033,1178.719688,11,51.90314261
161441.3083,-925616.4202,1018.221249,13,346.2257064
161504.2697,-925685.4537,940.2541949,15,418.7969391
161547.8798,-925982.3736,834.1204868,15,717.7478637
161608.4642,-925416.3345,1207.417008,18,156.180702
161662.3951,-925570.1412,1254.06133,16,312.8590515
161714.2623,-925792.0605,847.63729,11,537.4147738
161767.8237,-925556.9668,1224.204403,14,305.8273222
161825.8884,-925244.0108,1175.20398,17,3.310724013
161879.6243,-924889.7111,1151.696167,22,353.8146041
161929.0574,-925724.451,1189.114657,17,482.3885181
161979.9392,-925303.9021,1120.752228,9,65.50998439
162033.477,-925586.7982,1145.068061,13,351.0296707
162094.2138,-925098.2331,1133.585025,8,133.1890833
162143.082,-925270.9644,1158.798068,8,42.09194348
162198.8155,-925783.0778,1178.549507,10,556.5766649
162249.2551,-925842.0523,1125.71502,15,618.3800697
162315.1078,-925393.1214,1073.813768,7,174.0293797
162376.7939,-924936.5915,1174.690427,7,278.1504541
162434.5864,-925037.8675,1166.157291,25,173.6900625
162481.043,-924475.3645,1219.865077,14,732.5475956
162530.1733,-924652.273,1200.424827,6,553.0849875
162587.8106,-924547.7966,1218.815523,13,654.0392327
162641.3051,-924804.5818,1170.789573,12,394.5815584
162699.5281,-925750.5266,990.8838823,10,553.148298
162755.317,-924570.643,1229.109632,9,621.5072624
162832.8546,-924995.9591,1142.612094,8,192.4072856
162894.9854,-924828.0677,1110.826808,18,356.4084752
162931.3605,-924360.187,1228.153675,8,821.3885026
162989.6392,-924627.7807,1141.217035,6,550.8628032
163038.5723,-924472.1881,1141.471075,9,703.3522253
163096.8318,-924538.5489,1151.831512,11,633.7213376
163154.0988,-924026.2338,1245.672117,8,1141.84814
163206.8363,-924419.6412,1226.390865,10,746.0430285
163259.3679,-924710.0664,1120.301192,10,453.0578745
163325.5883,-925272.1283,978.1576987,13,111.9009139
163384.4368,-925133.9248,962.7183439,9,22.67022201
163442.6113,-925304.2512,968.189582,9,150.7660551
163495.3112,-925169.8955,891.6801257,8,19.70054337
163535.584,-925245.2502,889.0719722,27,97.26152135
163599.1792,-924997.3745,916.2692263,12,146.509318
163648.187,-925374.0784,880.6569412,10,232.4068163
163701.3999,-924979.5763,923.951177,12,158.3410839
163750.8397,-925074.1623,893.9947453,13,61.04438713
163805.0155,-924886.3297,927.6521217,14,245.4167665
163859.3164,-926141.7216,1102.685336,36,1011.012004
163913.0212,-925564.0835,917.6585227,20,437.4659117
163975.9822,-925251.8494,901.3603637,14,129.4142597
164030.9316,-925203.1741,895.5279128,11,84.01026223
164084.2988,-924801.4925,979.5511291,11,313.8971005
164133.575,-925364.5389,922.7135549,11,251.0623835
164191.9495,-925060.9563,897.7544455,11,48.62725622
164244.7731,-925058.592,909.4422665,10,47.91420299
164302.7652,-924638.0524,1018.847619,11,464.3781582
164362.537,-924874.1207,955.2672212,14,225.2381568
164415.6665,-925003.554,932.0519562,12,92.93875682
164453.5953,-925088.8394,877.3542851,30,5.644317458
164519.2114,-925043.0297,947.0575602,12,47.52701395
164574.0266,-924991.5626,941.7805295,12,95.71848146
164633.3343,-924804.7204,984.6090314,9,278.8014883
164686.0077,-925088.3326,940.8004859,9,7.43108491
164733.0825,-925094.9167,935.2619136,7,16.70842818
164791.8417,-924933.5033,907.3441253,9,141.0344844
164841.6963,-925190.1436,714.1578485,7,118.0687852
164905.7904,-925168.948,769.2871678,11,100.6308261
164953.147,-925015.1905,918.6435664,8,50.12056637
165002.5231,-924734.205,1007.375132,11,327.765627
165067.9476,-925224.7633,724.0914927,12,165.7642539
165113.5226,-925015.7736,900.2745977,8,40.22807766
165181.0952,-925699.3083,715.7353424,39,646.0776887
165222.1953,-925542.3183,718.5909013,16,491.7383405
165287.3207,-924633.8969,1031.964906,15,411.3708827
165334.4344,-924515.4415,1025.998559,13,526.8914769
165387.2911,-924979.1384,1002.205303,10,60.91375169
165443.8505,-925052.7287,798.9616596,9,15.85626227
165511.2211,-925005.1427,987.570142,10,27.76069058
165551.5599,-924642.3547,1070.802406,7,387.5877367
165611.2015,-925194.2225,733.0801964,8,166.8123308
165678.3127,-925021.0455,894.067279,7,2.316130175
165727.6677,-925192.201,732.1331721,7,171.5561789
165760.89,-925125.1708,904.4211879,27,106.5676226
165823.5114,-925340.7451,710.0532596,9,325.4131464
165887.3549,-925324.5392,740.2878205,7,312.9407625
165952.6625,-924911.2564,900.6338947,11,95.85554841
166009.0207,-924603.1311,1018.945879,8,400.1880138
166054.5351,-925357.5602,937.7146603,7,355.6120629
166110.9628,-924740.1351,997.7004338,15,257.4975746
166167.2435,-924687.1069,1003.525301,10,307.1691067
166232.088,-925129.6059,969.1286247,11,138.3490531
166300.7457,-924795.3452,980.6428932,10,191.3628358
166340.8935,-925232.3803,986.4678752,8,247.2664908
166402.1223,-924944.8399,960.3260543,10,36.23505354
166462.2544,-925203.6225,995.1641461,12,225.6039076
166510.9081,-925172.5761,995.3395378,16,197.4333026
166567.4943,-924923.1616,963.7516421,7,48.27863361
166610.783,-924759.5646,973.5312197,6,209.0858051
166667.6762,-925250.8477,1002.519364,11,284.6736378
166722.4738,-925158.0394,988.0159158,8,195.2029968
166788.2488,-924535.1953,1064.554223,9,422.7733185
166846.5723,-925309.7326,1001.506676,6,353.8446544
166897.2785,-924867.9277,1014.348243,11,84.27676848
166949.0309,-925110.7186,1071.717404,10,161.1142971
167008.4813,-925180.0086,1020.649074,6,233.7382232
167075.5109,-925219.9777,1008.52417,9,277.5312535
167133.075,-925152.8705,1038.338603,8,213.8789379
167203.2396,-924980.2213,1065.518904,10,45.59449498
167257.4039,-924815.75,1143.714593,5,115.457207
167302.3868,-925044.043,1004.007146,9,115.0677587
167369.3208,-924670.0842,1242.534461,10,254.3790657
167413.255,-925437.2431,812.1076099,8,514.0376985
167474.1255,-925258.4169,899.5209339,10,339.0459745
167526.5373,-924996.1043,1089.912055,13,80.2195873
167587.5612,-924959.5091,1116.646425,13,47.23161206
167648.3779,-924338.2868,1399.623228,9,569.4168492
167702.0101,-924821.1446,1247.871136,7,84.26430417
167757.3922,-925018.8746,1222.953373,8,116.3541365
167825.3012,-924745.8171,1293.123214,10,152.3030093
167863.7191,-924501.0967,1373.632805,4,394.3811059
167920.1973,-925215.6026,940.4642902,9,322.1996634
167986.9714,-924902.8014,1286.2206,9,13.81566602
168049.1707,-925387.8254,1029.14058,12,501.6194385
168102.6779,-925602.5514,931.2509834,23,719.0894255
168130.8144,-925836.3808,904.0346309,26,954.1577497
168192.4429,-924685.9438,1250.512371,7,190.7616555
168247.7699,-924790.2611,1252.602053,13,83.40983929
168322.3034,-924817.1398,1237.544941,10,52.24883611
168377.8354,-925070.5872,1197.081296,8,203.9980598
168446.395,-924601.5354,1258.816996,7,260.28585
168492.464,-925085.3208,1077.93988,12,225.3598057
168552.9359,-924850.2352,1264.945019,10,5.851560906
168615.3185,-924436.8231,1324.293741,12,414.9138678
168667.6582,-924401.4988,1334.751513,16,447.1399845
168723.7556,-925098.5535,1384.004891,11,251.997514
168775.8054,-925123.177,1387.471971,11,279.6011497
168841.1127,-925093.3464,1351.282966,12,253.6110888
168901.8079,-925121.8099,1345.986233,8,285.5515462
168951.5774,-924460.3265,1323.762327,5,371.9293707
169005.7935,-924766.6939,1271.484279,11,62.93232641
169051.0463,-924506.8267,1329.747508,11,319.7323163
169119.7945,-924429.16,1298.816871,23,393.2779981
169150.7878,-925127.073,1332.625352,3,305.2590272
169209.87,-924442.5944,1280.210022,7,374.6360942
169260.6398,-924201.6805,1258.286214,6,612.1968156
169309.9868,-925230.8092,1177.924075,4,418.0614655
169309.9868,-925230.8092,1177.924075,4,418.0614655
