x,y,velocity,point_count,deviation
174680.5609,-925314.7662,833.9516598,5,324.4525821
174732.6939,-925594.8735,784.471922,8,47.90550948
174788.4905,-925407.3395,790.35878002,8,182.04967166999998
174851.2673,-925616.2872,782.45213762,7,128.675086624
174914.2627,-925387.1578,786.52354144,7,131.61268553800002
174977.2145,-925599.6212,795.6994653600001,7,137.500483338
175042.0184,-925723.8306,801.8326554600001,8,131.18600129380002
175099.8516,-925396.2362,804.6062260400001,7,144.8441556738
175149.7998,-925665.5471,806.1960954000001,7,142.4640576658
175198.7049,-926005.216,825.49495552,13,267.6543236558
175239.9726,-925718.5717,821.17711436,10,220.08346131180002
175296.3511,-924986.4029,818.6876917400001,7,233.560439198
175355.1181,-925649.5795,817.3672042600001,7,177.99377909200004
175430.6797,-925614.6228,815.1847336400001,6,185.952545244
175495.2646,-925631.383,795.4284639800001,5,99.909360004
175565.3462,-925606.4117,790.4303894000001,8,110.29255044000003
175627.282,-925954.4685,782.2294522200002,4,115.21600334400001
175670.4006,-925616.1961,774.6789077600001,5,185.33269419000004
175734.5485,-925607.9068,764.1974130400001,8,177.726345532
175785.8072,-925297.3382,751.8811563800001,5,129.43404831400002
175842.3995,-925660.875,743.8313221,5,119.88284208
175884.8864,-925727.7941,739.59006996,5,109.78453825
175940.5174,-925679.9827,733.11547006,6,37.374583248
176014.6764,-925675.0275,732.97087132,8,115.43816412800001
176068.0741,-925676.6904,700.6897957000001,5,137.54556424600003
176128.7063,-925286.7796,671.14006582,8,134.00519337
176182.0319,-925600.825,642.8184669400001,9,126.63547829760002
176233.2714,-925715.0127,616.1618994400001,8,125.58669346360001
176281.5937,-925740.9453,591.3889052200001,7,199.3026321836
176332.5432,-925697.5631,665.5681001,5,422.3172779236
176404.2159,-926549.3135,675.42647036,8,530.3700953816
176437.6003,-926988.1836,678.9179574,13,565.434940644
176488.0668,-926304.2,676.2823930000001,6,590.4338287200001
176548.4602,-925932.3439,675.57621426,9,543.7025416
176631.6935,-925590.0138,603.41820712,17,303.549458044
176681.7094,-926331.6367,599.0061779600001,5,204.202864196
176729.6733,-925719.0056,598.3962943,7,170.56613605800004
176786.5064,-925824.2209,605.36630856,10,169.584355218
176847.6946,-925753.9808,605.83035352,6,95.290590098
176905.2402,-925931.2315,608.88984858,9,152.333852654
176976.1416,-925976.9075,610.8339138,5,172.943471542
177055.6232,-926107.5352,612.9018952000001,16,170.4684354994
177086.1025,-925945.1442,613.43822732,50,138.80712498039998
177151.8845,-925787.0847,616.5147422800001,9,147.0227341604
177220.2507,-925788.2691,618.60180786,8,97.5085113284
177280.834,-926036.0492,615.8635814600001,6,106.1028404884
177354.4353,-925718.1878,615.2742219200001,8,129.171949729
177406.1078,-925594.3806,614.32782596,26,148.810699048
177454.2361,-925686.6485,612.06147922,9,119.19666340600001
177508.0149,-925706.897,604.2717555,14,120.99720714200001
177562.468,-925715.5848,573.7198706199999,9,184.079647082
177632.3549,-925902.6093,556.5665060399999,8,211.49007962200002
177681.4415,-925294.6785,529.46694952,8,288.970926162
177735.7268,-925565.9804,500.24300847999996,12,351.002948584
177788.2876,-925335.3677,479.05989642,9,406.84530252
177834.2798,-925420.9342,479.6523335,9,554.2120066
177892.5211,-925461.2467,468.65234968000004,9,738.28434816
177967.4908,-924573.4531,478.2071151,50,705.13087326
178007.0824,-924660.0396,484.68774368000004,25,806.99222434
178064.0025,-925517.7057,525.2096316000001,7,744.33277157
178115.6106,-924927.3535,537.48572678,41,579.2263355700001
178178.3276,-925791.971,543.96187362,11,546.74831277
178255.4999,-925417.4314,533.7996736,16,611.91313925
178310.8741,-924840.6524,563.75826898,48,446.579954238
178345.1954,-925207.9195,538.0296627600001,13,476.2849730280001
178408.9651,-925947.1306,537.3642991800001,10,514.472626968
178467.0632,-925660.2366,552.25907326,10,345.36220964800003
178537.2018,-925242.7958,539.93448462,60,411.338218428
178573.2496,-926036.143,537.22601692,34,399.93853095000003
178629.8006,-926851.7241,510.53158498000005,41,570.51579929
178682.6996,-925906.1874,490.31154216000004,18,624.89577149
178741.2818,-926937.1061,458.79016170000006,66,807.6519332099999
178789.7963,-926779.5527,465.18408352,45,839.5348075100001
178840.9443,-926967.3256,420.93916550000006,35,1019.7009774200001
178897.4692,-927027.2226,426.8948478000001,39,914.8161793
178941.8604,-926823.9021,458.08684946000005,43,795.9465672800001
178996.085,-926426.8154,496.24552630000005,49,584.946197922
179042.8842,-925595.6677,499.25635348000003,31,441.29457914200003
179096.7376,-925875.5532,502.49605958,30,374.69638358200007
179140.438,-926322.0615,504.56464303999996,46,350.45495208200003
179196.8426,-926505.3882,483.25398566,20,350.86833930200004
179240.4961,-926319.8304,460.56229427999995,4,397.21552876000004
179305.9994,-926216.7226,491.9706377399999,5,343.88928954000005
179364.0058,-926173.5134,497.48141258,3,317.77790146
179430.3021,-925768.4588,493.10613918000007,3,480.58461848
179510.9607,-926393.1538,491.08084668000004,5,574.70745752
179556.1278,-927153.9211,492.33094414000004,5,636.43344602
179600.9759,-926705.5767,460.09789478000005,14,806.69868162
179671.9476,-926500.8662,475.29228414000005,6,829.88292974
179729.4845,-926942.5598,520.3074234,6,590.189725574
179784.7474,-926525.4445,527.40747218,11,637.597897394
179835.8498,-925918.5572,535.62993212,13,653.3512646940001
179901.3801,-926960.7703,550.9850358000001,2,609.236740634
179983.6241,-926598.1761,551.71660032,4,644.9967672140001
180048.5302,-926740.4435,534.68001702,24,796.7432709200001
180095.9818,-926722.9358,564.81195344,26,621.6186231
180148.3396,-926748.3932,580.44671994,7,534.51274692
180193.6053,-925829.8122,598.9962822,2,427.5098978600001
180258.6472,-926178.1289,625.13365204,3,354.67308566
180347.9734,-925726.7417,644.6920161600001,2,208.84993201600003
180419.6558,-926377.2312,638.0790372600001,8,272.078545716
180468.7242,-925926.2608,636.2281936800001,3,403.51457383600007
180528.6128,-925532.9015,721.3339077600001,4,687.500393756
180597.8754,-925121.9505,746.04461412,3,615.351430626
180647.5956,-924322.0324,765.0621794799999,1,656.97379147
180721.2083,-925959.3439,783.52606212,5,719.79057023
180798.6717,-925737.2678,802.81685526,3,702.90752301
180852.3322,-925237.3872,728.6548216000001,2,545.48113211
180913.3367,-925225.1422,712.6022395400001,2,660.28664798
180992.1874,-925130.8847,713.2001390800001,3,699.54393084
181037.034,-925402.9611,710.48060132,14,695.29709022
181072.6025,-925556.8144,716.48461382,22,674.10658514
181132.3705,-925275.1953,747.34340804,3,501.224908942
181216.8088,-925349.2001,769.5475091000001,4,402.992329922
181270.7737,-926013.2558,777.66691386,4,317.141062998
181338.6381,-925912.7899,762.16153072,8,202.50757571799997
181387.3331,-926066.2722,727.7798488000001,6,110.43982529800002
181437.102,-926210.1986,672.38997798,9,146.467366276
181490.3685,-926257.3508,623.6314496800001,7,192.12929467600003
181552.7067,-926241.7593,570.03837328,22,187.58230228419998
181594.1885,-926396.9342,565.40916528,20,236.44253124419998
181665.2238,-926059.8567,568.41179584,22,368.31424882420004
181719.8394,-926471.6217,571.52715122,16,394.1000477242
181775.641,-925182.8342,569.19077382,21,370.2101471842
181820.3565,-925736.1004,580.1779794,8,550.7016011000001
181880.1247,-925835.7165,573.055923,6,509.48052354000004
181932.5478,-925156.3461,566.60855926,4,352.772179126
181984.3194,-926280.7754,586.4134004,8,707.8956543460001
182052.9832,-925984.1202,607.80759614,5,828.4194199260002
182075.7035,-923972.4681,602.9502955,1,770.2861029260001
182149.5006,-925247.9553,605.4629847,6,838.2857840460002
182198.1404,-926704.2345,607.3600163199999,37,860.3555985000003
182271.9191,-925537.8017,589.67486762,3,469.9998859
182351.2901,-925891.1934,567.6836915,4,359.07345396000005
182410.8011,-926245.1192,569.3012188800001,80,256.21626136
182484.0,-925823.3069,565.45131678,26,238.46488126000003
182527.5302,-926208.504,563.24350608,10,275.71998976000003
182588.5552,-926568.1367,551.62882562,10,365.75014384
182635.827,-926497.7353,543.22191982,28,403.21507706
182689.2286,-926712.496,534.6463451,32,453.35835068
182735.3372,-926580.3862,533.4087765400001,45,412.32456286
182789.5472,-926475.1305,530.69717262,74,363.84433628
182843.1418,-926377.6439,531.85052162,115,265.4280373
182888.069,-926269.8077,534.29238062,48,199.44775073999998
182946.1385,-926234.7285,532.28026066,57,204.00289168
182989.2909,-926264.9055,532.53030728,55,193.57645768
183041.4219,-926512.8193,532.62494902,31,216.52478294
183094.0021,-925933.0095,533.6353955000001,33,247.16135556
183143.5019,-925879.2578,534.7820739,26,259.8352106
183143.5019,-925879.2578,534.7820739,26,259.8352106
