x,y,velocity,point_count,deviation
99338.52537,-549550.8499,1443.681294,15,98.7588353
99301.17205,-549498.2633,1486.777876,20,137.6473882
99235.67351,-549444.7214,1473.817612,19,204.6925468
98416.5376,-549391.0309,1591.081757,46,1025.054123
99450.47147,-549344.8426,1318.083512,25,7.103025702
99305.93812,-549290.3905,1316.753761,18,139.0078028
99656.73912,-549236.3776,1296.724577,17,210.053601
99314.24296,-549186.0897,1316.30634,15,133.7788755
99413.84516,-549138.3314,1316.635024,20,35.62552496
99427.37569,-549079.3913,1318.088206,19,23.84742131
99377.11383,-549026.5108,1320.900207,15,75.63888079
99473.84876,-548977.6648,1309.247959,18,19.62111703
99649.46916,-548923.8746,1274.138331,20,193.5783706
99532.41123,-548876.9957,1192.928576,18,75.19188448
99574.32711,-548827.7857,1194.52297,21,115.6397287
99454.33377,-548771.6081,1206.808998,21,5.966420706
99674.58793,-548719.0218,1186.523184,19,212.6502543
99490.20778,-548665.5294,1204.221598,20,26.78471076
99391.94583,-548607.9296,1228.452419,20,73.14577776
99667.62286,-548565.8941,1158.575225,16,201.1751681
99375.95371,-548505.7162,1219.478073,22,92.1446371
99644.1699,-548444.3707,1150.813278,19,174.1516823
99312.38598,-548391.5376,1189.400739,45,159.0464323
99138.72549,-548353.6643,1166.616924,28,333.7464289
99376.55316,-548299.0341,1168.785999,27,97.6320009
99508.57746,-548247.7076,1199.788829,18,32.83655948
99631.16098,-548191.1128,1179.044546,20,153.6881162
99538.48863,-548136.5254,1181.004012,15,59.45264774
99597.14442,-548086.3921,1170.039738,18,116.6008049
99661.12337,-548025.9956,1162.886828,38,178.7723295
99722.74252,-547983.8953,1161.327935,16,239.1234004
99461.21799,-547916.7267,1107.447489,55,24.27113518
99454.94636,-547864.2355,1119.661936,21,32.09037956
99488.5303,-547808.4799,1107.004604,15,0.66988511
99537.19264,-547761.9208,1111.765161,16,47.11664289
99527.91111,-547711.6005,1149.907366,16,36.35752341
99467.41879,-547659.6446,1149.174008,22,25.65070728
99619.71355,-547603.6673,1154.267213,27,124.9337627
99728.43539,-547554.4228,1133.315406,27,232.1575933
99561.57515,-547501.8684,1145.749587,17,63.82104022
99594.98117,-547450.2554,1158.721753,21,95.69313619
99678.97753,-547396.6456,1195.62109,24,178.0728996
99727.56897,-547346.2059,1188.716857,20,225.1564699
99701.78739,-547294.3771,1189.79512,23,197.859267
