site,scope,segment,feature_type,target,feature,mean_abs_shap,rank
nanjingdonglu,segment1,1.0,individual,velocity,light.middle,25.64568928413465,1
nanjingdonglu,segment1,1.0,individual,velocity,chandelier.middle,24.395389122778173,2
nanjingdonglu,segment1,1.0,individual,velocity,railing.far,24.017113201963422,3
nanjingdonglu,segment1,1.0,individual,velocity,lamp.near,12.058379204587776,4
nanjingdonglu,segment1,1.0,individual,velocity,railing.near,11.524752276160736,5
nanjingdonglu,segment1,1.0,individual,velocity,ceiling.far,6.590400763423027,6
nanjingdonglu,segment1,1.0,individual,velocity,column.near,6.173580683014424,7
nanjingdonglu,segment1,1.0,individual,velocity,lamp.far,3.7798586423189953,8
nanjingdonglu,segment1,1.0,individual,velocity,person.middle,3.6915283975107838,9
nanjingdonglu,segment1,1.0,individual,velocity,floor.far,3.383963787781841,10
nanjingdonglu,segment1,1.0,individual,velocity,person.near,3.3061350852090903,11
nanjingdonglu,segment1,1.0,individual,velocity,person.far,2.592981656379475,12
nanjingdonglu,segment1,1.0,individual,deviation,person.near,7.718070637734415,1
nanjingdonglu,segment1,1.0,individual,deviation,wall.middle,6.717558150818007,2
nanjingdonglu,segment1,1.0,individual,deviation,lamp.far,6.416024932972355,3
nanjingdonglu,segment1,1.0,individual,deviation,wall.far,6.28370114493952,4
nanjingdonglu,segment1,1.0,individual,deviation,person.middle,5.584614893416957,5
nanjingdonglu,segment1,1.0,individual,deviation,column.middle,5.123722343436882,6
nanjingdonglu,segment1,1.0,individual,deviation,wall.near,5.033268298470277,7
nanjingdonglu,segment1,1.0,individual,deviation,ceiling.middle,3.725194881106366,8
nanjingdonglu,segment1,1.0,individual,deviation,floor.near,3.0662351473332636,9
nanjingdonglu,segment1,1.0,individual,deviation,railing.far,3.0216889857750324,10
nanjingdonglu,segment1,1.0,individual,deviation,floor.far,2.5996693127479666,11
nanjingdonglu,segment1,1.0,individual,deviation,lamp.near,1.7340110555520827,12
nanjingdonglu,segment1,1.0,comprehensive,velocity,clutter_far_degree,33.498302529496954,1
nanjingdonglu,segment1,1.0,comprehensive,velocity,obstacle_far_density,30.306928233368083,2
nanjingdonglu,segment1,1.0,comprehensive,velocity,clutter_near_degree,22.424231545566236,3
nanjingdonglu,segment1,1.0,comprehensive,velocity,obstacle_near_density,13.062177135615455,4
nanjingdonglu,segment1,1.0,comprehensive,velocity,near_ratio,12.390022146099572,5
nanjingdonglu,segment1,1.0,comprehensive,velocity,far_ratio,5.33662293827912,6
nanjingdonglu,segment1,1.0,comprehensive,velocity,clutter_middle_degree,3.8959730865490996,7
nanjingdonglu,segment1,1.0,comprehensive,velocity,obstacle_middle_density,3.624045277835834,8
nanjingdonglu,segment1,1.0,comprehensive,velocity,middle_ratio,2.618620086350297,9
nanjingdonglu,segment1,1.0,comprehensive,velocity,visibility_middle_ratio,0.5260407528938711,10
nanjingdonglu,segment1,1.0,comprehensive,velocity,visibility_near_ratio,0.0783302965076696,11
nanjingdonglu,segment1,1.0,comprehensive,velocity,visibility_far_ratio,0.0,12
nanjingdonglu,segment1,1.0,comprehensive,deviation,obstacle_middle_density,7.573880851284816,1
nanjingdonglu,segment1,1.0,comprehensive,deviation,middle_ratio,7.520385454278115,2
nanjingdonglu,segment1,1.0,comprehensive,deviation,far_ratio,6.748929137619197,3
nanjingdonglu,segment1,1.0,comprehensive,deviation,clutter_near_degree,5.6096733574858835,4
nanjingdonglu,segment1,1.0,comprehensive,deviation,clutter_far_degree,5.508957997956657,5
nanjingdonglu,segment1,1.0,comprehensive,deviation,obstacle_near_density,4.795055419057856,6
nanjingdonglu,segment1,1.0,comprehensive,deviation,obstacle_far_density,4.1865768450986796,7
nanjingdonglu,segment1,1.0,comprehensive,deviation,clutter_middle_degree,3.022898573874056,8
nanjingdonglu,segment1,1.0,comprehensive,deviation,near_ratio,2.0275478452180864,9
nanjingdonglu,segment1,1.0,comprehensive,deviation,visibility_middle_ratio,0.05500994840572243,10
nanjingdonglu,segment1,1.0,comprehensive,deviation,visibility_near_ratio,0.031150452123279385,11
nanjingdonglu,segment1,1.0,comprehensive,deviation,visibility_far_ratio,0.0,12
nanjingdonglu,segment2,2.0,individual,velocity,wall.middle,92.39895429147656,1
nanjingdonglu,segment2,2.0,individual,velocity,person.near,34.13755962135855,2
nanjingdonglu,segment2,2.0,individual,velocity,column.middle,30.824313711674847,3
nanjingdonglu,segment2,2.0,individual,velocity,wall.near,27.56803597736778,4
nanjingdonglu,segment2,2.0,individual,velocity,person.far,25.784425475622008,5
