site,station,feature_type,target,method,n,pooled_oof_r2,mean_fold_r2,sd_fold_r2,mae,rmse
nanjingdonglu,East Nanjing Road,individual,velocity,original_default_kfold,1050,-0.5324800306624049,-0.945773558634939,0.6713268639365886,278.27674456190624,340.02653946358885
nanjingdonglu,East Nanjing Road,individual,velocity,random_kfold_seed42,1050,0.8676033801170762,0.8658421246570109,0.02194154655546728,73.26118908739807,99.94333846234406
nanjingdonglu,East Nanjing Road,individual,deviation,original_default_kfold,1050,-0.31650233415971263,-0.8645825003096699,1.7213666954740932,177.7871362534568,223.28117974136697
nanjingdonglu,East Nanjing Road,individual,deviation,random_kfold_seed42,1050,0.5057573981268003,0.5114735090073594,0.06719334976981581,97.89922282266956,136.80796726104134
nanjingdonglu,East Nanjing Road,comprehensive,velocity,original_default_kfold,1050,-0.874010693732701,-1.3899127612020092,1.5548360059207271,288.2183197426412,376.01176688353695
nanjingdonglu,East Nanjing Road,comprehensive,velocity,random_kfold_seed42,1050,0.6380609055216098,0.6348216383780562,0.023310045626643447,119.49021263632285,165.24683544047053
nanjingdonglu,East Nanjing Road,comprehensive,deviation,original_default_kfold,1050,-0.08522574256764082,-0.20659396323390897,0.15851513992901908,158.05939935008044,202.72221601690586
nanjingdonglu,East Nanjing Road,comprehensive,deviation,random_kfold_seed42,1050,0.42559147529490815,0.4352013305754956,0.0892997317467486,107.619204109194,147.48632008210157
wujiaochang,Wujiaochang,individual,velocity,original_default_kfold,750,-0.39419402096797995,-1.2585859534918122,1.7936748516245915,167.38103588267754,223.97460756486117
wujiaochang,Wujiaochang,individual,velocity,random_kfold_seed42,750,0.7854719311358422,0.7852205254856264,0.037361347746420526,56.14004276925706,87.85758028264097
wujiaochang,Wujiaochang,individual,deviation,original_default_kfold,750,-0.19896009936522274,-0.7015171163233541,1.1083468518008897,119.42226184173798,157.1522862198706
wujiaochang,Wujiaochang,individual,deviation,random_kfold_seed42,750,0.48693267242304084,0.48499650330779714,0.06929450855104662,71.98516409421907,102.80293598119182
wujiaochang,Wujiaochang,comprehensive,velocity,original_default_kfold,750,-0.09662232549783756,-0.6785735847624977,0.6733036169972174,147.37561083363943,198.63954783091697
wujiaochang,Wujiaochang,comprehensive,velocity,random_kfold_seed42,750,0.6488242605330834,0.6481144825350654,0.031110774482969034,77.41866665055996,112.40857159325789
wujiaochang,Wujiaochang,comprehensive,deviation,original_default_kfold,750,0.017689118944009485,-0.16864569819282177,0.1754800234522837,103.07915237681702,142.24690167308424
wujiaochang,Wujiaochang,comprehensive,deviation,random_kfold_seed42,750,0.34607528863835957,0.3451782437162366,0.06238143554736411,83.76209073824465,116.05990559376734
