site,station,sample_set,trajectory_ids,aggregation_points,velocity_mean_m_s,velocity_sd_m_s,deviation_mean_m,deviation_sd_m
nanjingdonglu,East Nanjing Road,1,30,150,1.126555320078,0.143111899882465,0.19012376499162,0.1418048786994741
nanjingdonglu,East Nanjing Road,2,38,150,0.9692222396813335,0.3198577876799131,0.3399063086903733,0.2499789834037676
nanjingdonglu,East Nanjing Road,3,95,150,1.3575959171526666,0.21077486240649737,0.33539428627367995,0.26807908146169296
nanjingdonglu,East Nanjing Road,4,47,150,0.8320738586533334,0.11180386224908008,0.37656332877149334,0.30701890311369373
nanjingdonglu,East Nanjing Road,5,20,150,0.9947083565746667,0.19168153745405933,0.4664235563369333,0.3981136997624242
nanjingdonglu,East Nanjing Road,6,24,150,1.0559933376746666,0.16800921374420522,0.28492435143508,0.2326829152263229
nanjingdonglu,East Nanjing Road,7,21,150,0.6142684676713334,0.12281485995768743,0.3905781221488001,0.3719267085991507
nanjingdonglu,East Nanjing Road,Total,275,1050,0.9929167853551429,0.2886497251209712,0.3405591026639972,0.30277215354856335
wujiaochang,Wujiaochang,1,6,150,1.2765097256453333,0.14994504264008085,0.2804208300942133,0.19087953514385242
wujiaochang,Wujiaochang,2,64,150,1.3475095422060002,0.332026999523887,0.30577798153917995,0.2739027915240231
wujiaochang,Wujiaochang,3,27,150,1.2406232773999997,0.11532273126045502,0.17665095200261333,0.16410558019293034
wujiaochang,Wujiaochang,4,58,150,1.2538781734659998,0.11839657490671823,0.2839414141051733,0.27942556220919534
wujiaochang,Wujiaochang,5,36,150,1.4634986801646668,0.15135586120022343,0.31354869131486,0.30320903325334747
wujiaochang,Wujiaochang,Total,191,750,1.3164038797764,0.20778230003349848,0.272067973811208,0.25256450750034326
