site,station,scope,segment,feature_type,target,n_total,n_oof,cv_method,cv_r2,cv_mae,cv_rmse,fold_r2_mean,fold_r2_sd,training_r2
nanjingdonglu,East Nanjing Road,segment1,1,individual,velocity,150,150,random_5fold_seed42,0.8270901430459593,39.44432557901497,56.03608119471561,0.828018491800249,0.030269998633371275,0.9454361487940685
nanjingdonglu,East Nanjing Road,segment1,1,individual,deviation,150,150,random_5fold_seed42,0.4798911839292569,38.783593110343304,49.530295531216474,0.45734355884760597,0.0759992337185122,0.7613548986208196
nanjingdonglu,East Nanjing Road,segment1,1,comprehensive,velocity,150,150,random_5fold_seed42,0.7658173380978905,46.39484732529395,65.21316062385372,0.750279917435576,0.0907212587686638,0.9014501455386847
nanjingdonglu,East Nanjing Road,segment1,1,comprehensive,deviation,150,150,random_5fold_seed42,0.3040045897519773,45.238754614806325,57.296355653390236,0.26734812422628546,0.11355227807647442,0.681829297223483
nanjingdonglu,East Nanjing Road,segment2,2,individual,velocity,150,150,random_5fold_seed42,0.8543631905015887,73.33011133405057,112.32897623985369,0.8474804108587053,0.050854619317197244,0.929130006934007
nanjingdonglu,East Nanjing Road,segment2,2,individual,deviation,150,150,random_5fold_seed42,0.5262184198051711,78.47007876382882,98.80464030737186,0.4885773957150428,0.10453011083421389,0.7990030250770517
nanjingdonglu,East Nanjing Road,segment2,2,comprehensive,velocity,150,150,random_5fold_seed42,0.7195651418658933,118.56793312549244,155.87347604680636,0.7145696009059395,0.07989415177062252,0.8697523526156428
nanjingdonglu,East Nanjing Road,segment2,2,comprehensive,deviation,150,150,random_5fold_seed42,0.4071039254949338,86.44337911952697,110.52933138616679,0.357052022288958,0.13309880224624762,0.6965047213358274
nanjingdonglu,East Nanjing Road,segment3,3,individual,velocity,150,150,random_5fold_seed42,0.8551945576858662,52.18350629617364,67.05820666508667,0.8524785833001569,0.015027347158255704,0.9381328424942409
nanjingdonglu,East Nanjing Road,segment3,3,individual,deviation,150,150,random_5fold_seed42,0.567884339563806,81.64284382889348,104.52344661800569,0.5421272208088963,0.16206592118383772,0.8037699415711059
nanjingdonglu,East Nanjing Road,segment3,3,comprehensive,velocity,150,150,random_5fold_seed42,0.7171586226548309,73.40059309480111,93.71971610974089,0.7116779001348948,0.04811811684073984,0.8506881713792183
nanjingdonglu,East Nanjing Road,segment3,3,comprehensive,deviation,150,150,random_5fold_seed42,0.12297614864368978,115.13685907928307,148.90847680757662,0.0897872543599035,0.100840737956842,0.5108977071446943
nanjingdonglu,East Nanjing Road,segment4,4,individual,velocity,150,150,random_5fold_seed42,0.7361497027876605,36.665364454052884,49.24544334051278,0.7423758989735383,0.09298086692185381,0.8868180155726542
nanjingdonglu,East Nanjing Road,segment4,4,individual,deviation,150,150,random_5fold_seed42,0.36399241483893086,98.27305051017146,174.7872514229068,0.45945618022861073,0.1843616548532514,0.6101127117917085
nanjingdonglu,East Nanjing Road,segment4,4,comprehensive,velocity,150,150,random_5fold_seed42,0.5046478394475005,53.865384835201624,67.47521678539194,0.5051580489264785,0.10501085941655468,0.7289539483389964
nanjingdonglu,East Nanjing Road,segment4,4,comprehensive,deviation,150,150,random_5fold_seed42,0.25460639106461125,116.9642909527716,189.22191692403774,0.3082820698040167,0.178272720469349,0.5281693932908811
nanjingdonglu,East Nanjing Road,segment5,5,individual,velocity,150,150,random_5fold_seed42,0.7426565707011894,58.214905166413786,84.98494712511963,0.722557804614187,0.04090982322740061,0.8945011582173715
nanjingdonglu,East Nanjing Road,segment5,5,individual,deviation,150,150,random_5fold_seed42,0.5638135274318734,109.96829846803443,135.80958664646673,0.5437201996784895,0.05863119726873373,0.7938764676487735
nanjingdonglu,East Nanjing Road,segment5,5,comprehensive,velocity,150,150,random_5fold_seed42,0.5866725538902616,76.85708038435189,107.70418750760692,0.5671218667578944,0.08400389854376518,0.8200508580421714
nanjingdonglu,East Nanjing Road,segment5,5,comprehensive,deviation,150,150,random_5fold_seed42,0.46630404510987933,124.81991408737083,150.2246796604452,0.43559482682156825,0.09775809655597008,0.7577508577967095
nanjingdonglu,East Nanjing Road,segment6,6,individual,velocity,150,150,random_5fold_seed42,0.8233688122532914,42.93301540914425,59.60618179355274,0.825540039966547,0.06086062367536263,0.9262625916781253
