site,scope,feature_type,target,rank_in_selected_set,feature
nanjingdonglu,segment1,individual,velocity,1,floor.far
nanjingdonglu,segment1,individual,velocity,2,person.near
nanjingdonglu,segment1,individual,velocity,3,lamp.near
nanjingdonglu,segment1,individual,velocity,4,person.middle
nanjingdonglu,segment1,individual,velocity,5,railing.near
nanjingdonglu,segment1,individual,velocity,6,light.middle
nanjingdonglu,segment1,individual,velocity,7,person.far
nanjingdonglu,segment1,individual,velocity,8,lamp.far
nanjingdonglu,segment1,individual,velocity,9,column.near
nanjingdonglu,segment1,individual,velocity,10,ceiling.far
nanjingdonglu,segment1,individual,velocity,11,chandelier.middle
nanjingdonglu,segment1,individual,velocity,12,railing.far
nanjingdonglu,segment1,individual,deviation,1,person.near
nanjingdonglu,segment1,individual,deviation,2,lamp.near
nanjingdonglu,segment1,individual,deviation,3,floor.near
nanjingdonglu,segment1,individual,deviation,4,column.middle
nanjingdonglu,segment1,individual,deviation,5,lamp.far
nanjingdonglu,segment1,individual,deviation,6,wall.far
nanjingdonglu,segment1,individual,deviation,7,floor.far
nanjingdonglu,segment1,individual,deviation,8,railing.far
nanjingdonglu,segment1,individual,deviation,9,ceiling.middle
nanjingdonglu,segment1,individual,deviation,10,wall.middle
nanjingdonglu,segment1,individual,deviation,11,person.middle
nanjingdonglu,segment1,individual,deviation,12,wall.near
nanjingdonglu,segment1,comprehensive,velocity,1,near_ratio
nanjingdonglu,segment1,comprehensive,velocity,2,middle_ratio
nanjingdonglu,segment1,comprehensive,velocity,3,far_ratio
nanjingdonglu,segment1,comprehensive,velocity,4,obstacle_near_density
nanjingdonglu,segment1,comprehensive,velocity,5,obstacle_middle_density
nanjingdonglu,segment1,comprehensive,velocity,6,obstacle_far_density
nanjingdonglu,segment1,comprehensive,velocity,7,visibility_near_ratio
nanjingdonglu,segment1,comprehensive,velocity,8,visibility_middle_ratio
nanjingdonglu,segment1,comprehensive,velocity,9,visibility_far_ratio
nanjingdonglu,segment1,comprehensive,velocity,10,clutter_near_degree
nanjingdonglu,segment1,comprehensive,velocity,11,clutter_middle_degree
nanjingdonglu,segment1,comprehensive,velocity,12,clutter_far_degree
nanjingdonglu,segment1,comprehensive,deviation,1,near_ratio
nanjingdonglu,segment1,comprehensive,deviation,2,middle_ratio
nanjingdonglu,segment1,comprehensive,deviation,3,far_ratio
nanjingdonglu,segment1,comprehensive,deviation,4,obstacle_near_density
nanjingdonglu,segment1,comprehensive,deviation,5,obstacle_middle_density
nanjingdonglu,segment1,comprehensive,deviation,6,obstacle_far_density
nanjingdonglu,segment1,comprehensive,deviation,7,visibility_near_ratio
nanjingdonglu,segment1,comprehensive,deviation,8,visibility_middle_ratio
nanjingdonglu,segment1,comprehensive,deviation,9,visibility_far_ratio
nanjingdonglu,segment1,comprehensive,deviation,10,clutter_near_degree
nanjingdonglu,segment1,comprehensive,deviation,11,clutter_middle_degree
nanjingdonglu,segment1,comprehensive,deviation,12,clutter_far_degree
nanjingdonglu,segment2,individual,velocity,1,wall.middle
nanjingdonglu,segment2,individual,velocity,2,ceiling.near
nanjingdonglu,segment2,individual,velocity,3,person.far
nanjingdonglu,segment2,individual,velocity,4,column.middle
nanjingdonglu,segment2,individual,velocity,5,signboard.far
nanjingdonglu,segment2,individual,velocity,6,ceiling.far
nanjingdonglu,segment2,individual,velocity,7,person.near
nanjingdonglu,segment2,individual,velocity,8,floor.near
nanjingdonglu,segment2,individual,velocity,9,wall.near
nanjingdonglu,segment2,individual,velocity,10,wall.far
nanjingdonglu,segment2,individual,velocity,11,signboard.middle
nanjingdonglu,segment2,individual,velocity,12,light.middle
nanjingdonglu,segment2,individual,deviation,1,floor.near
nanjingdonglu,segment2,individual,deviation,2,ceiling.middle
nanjingdonglu,segment2,individual,deviation,3,person.middle
nanjingdonglu,segment2,individual,deviation,4,person.far
nanjingdonglu,segment2,individual,deviation,5,signboard.near
nanjingdonglu,segment2,individual,deviation,6,light.middle
nanjingdonglu,segment2,individual,deviation,7,fence.far
nanjingdonglu,segment2,individual,deviation,8,wall.near
nanjingdonglu,segment2,individual,deviation,9,signboard.middle
nanjingdonglu,segment2,individual,deviation,10,fence.middle
nanjingdonglu,segment2,individual,deviation,11,ceiling.far
nanjingdonglu,segment2,individual,deviation,12,floor.far
nanjingdonglu,segment2,comprehensive,velocity,1,near_ratio
nanjingdonglu,segment2,comprehensive,velocity,2,middle_ratio
nanjingdonglu,segment2,comprehensive,velocity,3,far_ratio
nanjingdonglu,segment2,comprehensive,velocity,4,obstacle_near_density
nanjingdonglu,segment2,comprehensive,velocity,5,obstacle_middle_density
nanjingdonglu,segment2,comprehensive,velocity,6,obstacle_far_density
