target,feature_type,depth,feature,appearances,eligible_models,score,appearance_rate,conditional_shap_share
deviation,comprehensive,far,clutter_far_degree,12,12,0.13732014512510998,1.0,0.13732014512510998
deviation,comprehensive,far,far_ratio,12,12,0.09140522595560963,1.0,0.09140522595560963
deviation,comprehensive,far,obstacle_far_density,12,12,0.0795956206020554,1.0,0.0795956206020554
deviation,comprehensive,far,visibility_far_ratio,12,12,0.04068330787613116,1.0,0.04068330787613116
deviation,comprehensive,middle,clutter_middle_degree,12,12,0.13216961151912932,1.0,0.13216961151912932
deviation,comprehensive,middle,middle_ratio,12,12,0.07957924052823542,1.0,0.07957924052823542
deviation,comprehensive,middle,obstacle_middle_density,12,12,0.07640696292362176,1.0,0.07640696292362176
deviation,comprehensive,middle,visibility_middle_ratio,12,12,0.04504046129927248,1.0,0.04504046129927248
deviation,comprehensive,near,clutter_near_degree,12,12,0.11334360193743763,1.0,0.11334360193743763
deviation,comprehensive,near,near_ratio,12,12,0.08668462693174489,1.0,0.08668462693174489
deviation,comprehensive,near,visibility_near_ratio,12,12,0.06245144936075137,1.0,0.06245144936075137
deviation,comprehensive,near,obstacle_near_density,12,12,0.055319745940900965,1.0,0.055319745940900965
deviation,individual,far,wall.far,10,12,0.07568798991872239,0.8333333333333334,0.09082558790246686
deviation,individual,far,person.far,8,12,0.05366283997922666,0.6666666666666666,0.08049425996883999
deviation,individual,far,ceiling.far,7,12,0.05025015754931645,0.5833333333333334,0.08614312722739963
deviation,individual,far,floor.far,9,12,0.03972714900793225,0.75,0.05296953201057633
deviation,individual,far,painting.far,2,12,0.024913061929613286,0.16666666666666666,0.1494783715776797
deviation,individual,far,light.far,3,12,0.018288749844402995,0.25,0.07315499937761198
deviation,individual,far,fence.far,3,12,0.016990030139313574,0.25,0.0679601205572543
deviation,individual,far,signboard.far,3,12,0.015140617216940206,0.25,0.06056246886776082
deviation,individual,far,box.far,1,12,0.01007042043632995,0.08333333333333333,0.1208450452359594
deviation,individual,far,lamp.far,1,12,0.00937624503254064,0.08333333333333333,0.11251494039048769
deviation,individual,far,railing.far,1,12,0.004415833267286026,0.08333333333333333,0.05298999920743231
deviation,individual,far,door.far,1,12,0.0010480355205720394,0.08333333333333333,0.012576426246864473
deviation,individual,middle,person.middle,11,12,0.07984074999332312,0.9166666666666666,0.08709899999271614
deviation,individual,middle,ceiling.middle,11,12,0.07667488916232183,0.9166666666666666,0.08364533363162381
deviation,individual,middle,wall.middle,7,12,0.04663754948418445,0.5833333333333334,0.0799500848300305
deviation,individual,middle,light.middle,5,12,0.044195302277385905,0.4166666666666667,0.10606872546572617
deviation,individual,middle,floor.middle,6,12,0.041581744913585524,0.5,0.08316348982717105
deviation,individual,middle,painting.middle,2,12,0.03302920841399851,0.16666666666666666,0.1981752504839911
deviation,individual,middle,windowpane.middle,2,12,0.01741223605693493,0.16666666666666666,0.10447341634160957
deviation,individual,middle,stairs.middle,1,12,0.013470501492174105,0.08333333333333333,0.16164601790608926
deviation,individual,middle,column.middle,2,12,0.010467919740390205,0.16666666666666666,0.06280751844234123
deviation,individual,middle,fence.middle,2,12,0.00698461394938989,0.16666666666666666,0.04190768369633934
deviation,individual,middle,poster.middle,1,12,0.006606583768854551,0.08333333333333333,0.07927900522625461
deviation,individual,middle,signboard.middle,1,12,0.005103884091759328,0.08333333333333333,0.06124660910111194
deviation,individual,middle,lamp.middle,1,12,0.004620413940145433,0.08333333333333333,0.055444967281745194
deviation,individual,middle,monitor.middle,1,12,0.002272589409840675,0.08333333333333333,0.0272710729180881
deviation,individual,near,floor.near,10,12,0.08435366756405431,0.8333333333333334,0.10122440107686517
deviation,individual,near,wall.near,8,12,0.05759375821370335,0.6666666666666666,0.08639063732055502
deviation,individual,near,ceiling.near,8,12,0.04439200142456487,0.6666666666666666,0.0665880021368473
deviation,individual,near,light.near,5,12,0.02906996866438297,0.4166666666666667,0.06976792479451913
deviation,individual,near,person.near,2,12,0.015856294734332883,0.16666666666666666,0.0951377684059973
deviation,individual,near,windowpane.near,1,12,0.014336458115243476,0.08333333333333333,0.1720374973829217
deviation,individual,near,fence.near,1,12,0.01125421805916762,0.08333333333333333,0.13505061671001145
deviation,individual,near,lamp.near,2,12,0.010764670561841036,0.16666666666666666,0.06458802337104622
deviation,individual,near,column.near,2,12,0.01024654283753647,0.16666666666666666,0.06147925702521882
deviation,individual,near,painting.near,1,12,0.008246321314060518,0.08333333333333333,0.09895585576872622
deviation,individual,near,signboard.near,2,12,0.005416781974627573,0.16666666666666666,0.03250069184776544
velocity,comprehensive,far,clutter_far_degree,12,12,0.18093645931823266,1.0,0.18093645931823266
velocity,comprehensive,far,obstacle_far_density,12,12,0.0571495566575454,1.0,0.0571495566575454
velocity,comprehensive,far,far_ratio,12,12,0.05488411013051483,1.0,0.05488411013051483
velocity,comprehensive,far,visibility_far_ratio,12,12,0.05411877026129195,1.0,0.05411877026129195
velocity,comprehensive,middle,clutter_middle_degree,12,12,0.1504067448587186,1.0,0.1504067448587186
velocity,comprehensive,middle,obstacle_middle_density,12,12,0.08567492519660543,1.0,0.08567492519660543
velocity,comprehensive,middle,middle_ratio,12,12,0.06098201428430444,1.0,0.06098201428430444
velocity,comprehensive,middle,visibility_middle_ratio,12,12,0.04281586340247928,1.0,0.04281586340247928
velocity,comprehensive,near,clutter_near_degree,12,12,0.1424899247296534,1.0,0.1424899247296534
velocity,comprehensive,near,near_ratio,12,12,0.06223099022817056,1.0,0.06223099022817056
velocity,comprehensive,near,obstacle_near_density,12,12,0.054865117024956146,1.0,0.054865117024956146
velocity,comprehensive,near,visibility_near_ratio,12,12,0.0534455239075273,1.0,0.0534455239075273
velocity,individual,far,person.far,9,12,0.08359132320111817,0.75,0.1114550976014909
velocity,individual,far,floor.far,9,12,0.07593952038615685,0.75,0.10125269384820915
velocity,individual,far,ceiling.far,10,12,0.06819043198983867,0.8333333333333334,0.08182851838780639
velocity,individual,far,wall.far,10,12,0.06167480102311192,0.8333333333333334,0.07400976122773431
velocity,individual,far,lamp.far,2,12,0.017641570463402517,0.16666666666666666,0.1058494227804151
velocity,individual,far,railing.far,1,12,0.01573945963434761,0.08333333333333333,0.1888735156121713
velocity,individual,far,light.far,3,12,0.013177777522961258,0.25,0.05271111009184503
velocity,individual,far,signboard.far,3,12,0.011435336434906926,0.25,0.0457413457396277
velocity,individual,far,windowpane.far,2,12,0.010215202856137083,0.16666666666666666,0.0612912171368225
velocity,individual,far,poster.far,1,12,0.00798401820965944,0.08333333333333333,0.09580821851591327
velocity,individual,far,painting.far,1,12,0.005364690376090667,0.08333333333333333,0.06437628451308801
velocity,individual,far,door.far,1,12,0.0030167443386640174,0.08333333333333333,0.03620093206396821
velocity,individual,far,fence.far,1,12,0.0008339630932317908,0.08333333333333333,0.01000755711878149
velocity,individual,middle,wall.middle,9,12,0.08741291849930398,0.75,0.11655055799907196
velocity,individual,middle,ceiling.middle,6,12,0.05645299369254481,0.5,0.11290598738508963
velocity,individual,middle,floor.middle,6,12,0.05059696747366002,0.5,0.10119393494732004
velocity,individual,middle,person.middle,8,12,0.04501323066183008,0.6666666666666666,0.06751984599274512
velocity,individual,middle,light.middle,6,12,0.036919854418822874,0.5,0.07383970883764575
velocity,individual,middle,painting.middle,2,12,0.018186438024693097,0.16666666666666666,0.10911862814815859
velocity,individual,middle,windowpane.middle,2,12,0.017145128368607137,0.16666666666666666,0.10287077021164281
velocity,individual,middle,chandelier.middle,1,12,0.01598736030984689,0.08333333333333333,0.19184832371816268
velocity,individual,middle,column.middle,1,12,0.008794076683649737,0.08333333333333333,0.10552892020379685
velocity,individual,middle,stairs.middle,1,12,0.0073221344252368675,0.08333333333333333,0.08786561310284241
velocity,individual,middle,signboard.middle,2,12,0.0067184412859524895,0.16666666666666666,0.04031064771571494
velocity,individual,middle,lamp.middle,1,12,0.0024597083193474987,0.08333333333333333,0.029516499832169984
velocity,individual,near,wall.near,8,12,0.06024056934078565,0.6666666666666666,0.09036085401117848
velocity,individual,near,ceiling.near,8,12,0.04986803149855137,0.6666666666666666,0.07480204724782705
velocity,individual,near,floor.near,8,12,0.041560282623718116,0.6666666666666666,0.06234042393557718
velocity,individual,near,person.near,8,12,0.036354234455700095,0.6666666666666666,0.054531351683550146
velocity,individual,near,windowpane.near,4,12,0.025188893732910073,0.3333333333333333,0.07556668119873022
velocity,individual,near,painting.near,2,12,0.017810331283073414,0.16666666666666666,0.10686198769844049
velocity,individual,near,lamp.near,2,12,0.01296487417728636,0.16666666666666666,0.07778924506371816
velocity,individual,near,fence.near,1,12,0.008949230611784013,0.08333333333333333,0.10739076734140815
velocity,individual,near,railing.near,1,12,0.007552671785369215,0.08333333333333333,0.09063206142443059
velocity,individual,near,light.near,2,12,0.00407527650855399,0.16666666666666666,0.02445165905132394
velocity,individual,near,column.near,1,12,0.004045816128798944,0.08333333333333333,0.04854979354558733
velocity,individual,near,signboard.near,1,12,0.003575696160346267,0.08333333333333333,0.0429083539241552
