position,feature_type,depth,feature,appearances,eligible_models,score,appearance_rate,conditional_shap_share
begin,comprehensive,far,clutter_far_degree,8,8,0.1611092715017298,1.0,0.1611092715017298
begin,comprehensive,far,far_ratio,8,8,0.10180291459933236,1.0,0.10180291459933236
begin,comprehensive,far,visibility_far_ratio,8,8,0.05128517746301639,1.0,0.05128517746301639
begin,comprehensive,far,obstacle_far_density,8,8,0.04518986466301683,1.0,0.04518986466301683
begin,comprehensive,middle,clutter_middle_degree,8,8,0.09691880581182089,1.0,0.09691880581182089
begin,comprehensive,middle,middle_ratio,8,8,0.091635037300205,1.0,0.091635037300205
begin,comprehensive,middle,visibility_middle_ratio,8,8,0.07384511058604877,1.0,0.07384511058604877
begin,comprehensive,middle,obstacle_middle_density,8,8,0.04216097657582423,1.0,0.04216097657582423
begin,comprehensive,near,clutter_near_degree,8,8,0.13053841044718478,1.0,0.13053841044718478
begin,comprehensive,near,near_ratio,8,8,0.09078768070879828,1.0,0.09078768070879828
begin,comprehensive,near,visibility_near_ratio,8,8,0.08214754199100902,1.0,0.08214754199100902
begin,comprehensive,near,obstacle_near_density,8,8,0.03257920835201368,1.0,0.03257920835201368
begin,individual,far,wall.far,6,8,0.06262862117251038,0.75,0.08350482823001383
begin,individual,far,ceiling.far,5,8,0.06020211536222525,0.625,0.0963233845795604
begin,individual,far,floor.far,6,8,0.056063395809331625,0.75,0.07475119441244217
begin,individual,far,person.far,5,8,0.05479649537855432,0.625,0.08767439260568691
begin,individual,far,painting.far,2,8,0.0372106563226652,0.25,0.1488426252906608
begin,individual,far,railing.far,2,8,0.03023293935245045,0.25,0.1209317574098018
begin,individual,far,lamp.far,2,8,0.01778002638074686,0.25,0.07112010552298743
begin,individual,far,poster.far,1,8,0.011976027314489159,0.125,0.09580821851591327
begin,individual,far,signboard.far,2,8,0.010494603325304528,0.25,0.04197841330121811
begin,individual,far,light.far,2,8,0.009187311751252633,0.25,0.03674924700501053
begin,individual,middle,person.middle,8,8,0.07760915106769964,1.0,0.07760915106769964
begin,individual,middle,ceiling.middle,5,8,0.0586036656312891,0.625,0.09376586501006255
begin,individual,middle,wall.middle,6,8,0.05723817771246732,0.75,0.07631757028328977
begin,individual,middle,painting.middle,2,8,0.05180089699743709,0.25,0.20720358798974836
begin,individual,middle,light.middle,2,8,0.028573733048130753,0.25,0.11429493219252301
begin,individual,middle,floor.middle,3,8,0.027210557551539418,0.375,0.07256148680410511
begin,individual,middle,chandelier.middle,1,8,0.023981040464770332,0.125,0.19184832371816266
begin,individual,middle,windowpane.middle,2,8,0.022302740893625425,0.25,0.0892109635745017
begin,individual,middle,column.middle,1,8,0.011231551468233958,0.125,0.08985241174587166
begin,individual,near,wall.near,7,8,0.07080067067802871,0.875,0.08091505220346139
begin,individual,near,painting.near,3,8,0.03908497889570091,0.375,0.10422661038853576
begin,individual,near,floor.near,4,8,0.03646315810865261,0.5,0.07292631621730522
begin,individual,near,person.near,4,8,0.03249891306943449,0.5,0.06499782613886898
begin,individual,near,windowpane.near,3,8,0.027851052688875094,0.375,0.07426947383700025
begin,individual,near,ceiling.near,5,8,0.02744248675543262,0.625,0.0439079788086922
begin,individual,near,light.near,3,8,0.02368265842974378,0.375,0.06315375581265008
begin,individual,near,lamp.near,2,8,0.01565464249815613,0.25,0.06261856999262452
begin,individual,near,railing.near,1,8,0.011329007678053822,0.125,0.09063206142443057
begin,individual,near,column.near,1,8,0.006068724193198416,0.125,0.048549793545587326
end,comprehensive,far,clutter_far_degree,6,6,0.20240061445567473,1.0,0.20240061445567473
end,comprehensive,far,visibility_far_ratio,6,6,0.06891018686907974,1.0,0.06891018686907974
end,comprehensive,far,obstacle_far_density,6,6,0.0637497155020204,1.0,0.0637497155020204
end,comprehensive,far,far_ratio,6,6,0.06099065500401698,1.0,0.06099065500401698
end,comprehensive,middle,clutter_middle_degree,6,6,0.11666544775137462,1.0,0.11666544775137462
end,comprehensive,middle,obstacle_middle_density,6,6,0.08910377498398168,1.0,0.08910377498398168
end,comprehensive,middle,middle_ratio,6,6,0.059727345387914486,1.0,0.059727345387914486
end,comprehensive,middle,visibility_middle_ratio,6,6,0.04134302408720641,1.0,0.04134302408720641
end,comprehensive,near,clutter_near_degree,6,6,0.13184363964532936,1.0,0.13184363964532936
end,comprehensive,near,obstacle_near_density,6,6,0.062093760977357436,1.0,0.062093760977357436
end,comprehensive,near,visibility_near_ratio,6,6,0.054315080817746046,1.0,0.054315080817746046
end,comprehensive,near,near_ratio,6,6,0.04885675451829805,1.0,0.04885675451829805
end,individual,far,wall.far,6,6,0.09808524314697893,1.0,0.09808524314697893
end,individual,far,floor.far,5,6,0.06032770582542229,0.8333333333333334,0.07239324699050674
end,individual,far,ceiling.far,5,6,0.04791625557316693,0.8333333333333334,0.057499506687800316
end,individual,far,person.far,3,6,0.04288487610035053,0.5,0.08576975220070106
end,individual,far,light.far,2,6,0.025639917878650744,0.3333333333333333,0.07691975363595223
end,individual,far,box.far,1,6,0.0201408408726599,0.16666666666666666,0.1208450452359594
end,individual,far,signboard.far,1,6,0.009581752407756399,0.16666666666666666,0.05749051444653839
end,individual,far,door.far,2,6,0.008129559718472113,0.3333333333333333,0.02438867915541634
end,individual,middle,ceiling.middle,5,6,0.10582094638294261,0.8333333333333334,0.12698513565953112
end,individual,middle,floor.middle,5,6,0.05460181465548994,0.8333333333333334,0.06552217758658793
end,individual,middle,person.middle,4,6,0.04513121787929828,0.6666666666666666,0.06769682681894743
end,individual,middle,stairs.middle,2,6,0.04158527183482195,0.3333333333333333,0.12475581550446584
end,individual,middle,windowpane.middle,2,6,0.03937774099291689,0.3333333333333333,0.11813322297875067
end,individual,middle,wall.middle,4,6,0.02675768012149193,0.6666666666666666,0.04013652018223789
end,individual,middle,light.middle,2,6,0.010541436944386787,0.3333333333333333,0.03162431083316036
end,individual,middle,signboard.middle,1,6,0.00815629948977192,0.16666666666666666,0.04893779693863152
end,individual,middle,monitor.middle,1,6,0.004545178819681349,0.16666666666666666,0.027271072918088095
end,individual,near,wall.near,6,6,0.10321918368922085,1.0,0.10321918368922085
end,individual,near,floor.near,5,6,0.09611890504782718,0.8333333333333334,0.11534268605739262
end,individual,near,ceiling.near,3,6,0.06151066669038982,0.5,0.12302133338077964
end,individual,near,windowpane.near,1,6,0.02871459094528012,0.16666666666666666,0.17228754567168073
end,individual,near,person.near,2,6,0.02442488305235282,0.3333333333333333,0.07327464915705846
end,individual,near,signboard.near,2,6,0.016828161211105853,0.3333333333333333,0.050484483633317555
end,individual,near,column.near,1,6,0.010429916157954001,0.16666666666666666,0.06257949694772401
end,individual,near,light.near,1,6,0.009529954561609908,0.16666666666666666,0.05717972736965945
middle,comprehensive,far,clutter_far_degree,10,10,0.13158013945722247,1.0,0.13158013945722247
middle,comprehensive,far,obstacle_far_density,10,10,0.08969249167989528,1.0,0.08969249167989528
middle,comprehensive,far,far_ratio,10,10,0.05751047862147327,1.0,0.05751047862147327
middle,comprehensive,far,visibility_far_ratio,10,10,0.03138823967304678,1.0,0.03138823967304678
middle,comprehensive,middle,clutter_middle_degree,10,10,0.19155731435313603,1.0,0.19155731435313603
middle,comprehensive,middle,obstacle_middle_density,10,10,0.10730721949322422,1.0,0.10730721949322422
middle,comprehensive,middle,middle_ratio,10,10,0.059529068702135125,1.0,0.059529068702135125
middle,comprehensive,middle,visibility_middle_ratio,10,10,0.021545686720939282,1.0,0.021545686720939282
