site,station,segment,spatial_location_index,x_mm,y_mm,velocity_mm_s,point_count,deviation_mm
wujiaochang,Wujiaochang,1,1,99935.28806,-582193.7912,1183.272584,10,182.3551246
wujiaochang,Wujiaochang,1,2,99908.58643,-582141.1937,1196.469252,12,206.302613
wujiaochang,Wujiaochang,1,3,99886.38009,-582080.2044,1211.406103,11,225.3272722
wujiaochang,Wujiaochang,1,4,99902.0679,-582022.5367,1216.725893,10,206.6822451
wujiaochang,Wujiaochang,1,5,99748.2293,-581964.9886,1219.145194,13,357.3389764
wujiaochang,Wujiaochang,1,6,99855.17026,-581911.9874,1223.025866,12,247.8016065
wujiaochang,Wujiaochang,1,7,99918.00296,-581859.9126,1224.901513,10,182.362271
wujiaochang,Wujiaochang,1,8,99898.00358,-581809.2814,1223.787071,15,199.717443
wujiaochang,Wujiaochang,1,9,99844.33115,-581754.407,1218.693799,14,250.4822675
wujiaochang,Wujiaochang,1,10,99819.4875,-581697.4782,1212.491823,13,272.3503977
wujiaochang,Wujiaochang,1,11,99763.11272,-581645.0266,1202.103011,12,325.9401701
wujiaochang,Wujiaochang,1,12,99780.69115,-581587.6543,1193.781907,12,305.4193375
wujiaochang,Wujiaochang,1,13,99753.45837,-581537.0103,1188.403697,9,329.9983413
wujiaochang,Wujiaochang,1,14,99779.52522,-581480.5108,1179.03478,10,301.0464324
wujiaochang,Wujiaochang,1,15,99780.28428,-581424.0043,1174.167073,12,297.3689978
wujiaochang,Wujiaochang,1,16,99799.36143,-581365.0766,1178.588361,12,275.2715131
wujiaochang,Wujiaochang,1,17,99664.18364,-581309.9469,1190.619207,11,407.4191345
wujiaochang,Wujiaochang,1,18,99754.89761,-581254.7936,1202.373292,11,313.976091
wujiaochang,Wujiaochang,1,19,99690.17718,-581203.8234,1218.132155,11,375.9752015
wujiaochang,Wujiaochang,1,20,99681.53152,-581150.5103,1227.802117,12,381.8545593
wujiaochang,Wujiaochang,1,21,99610.69644,-581097.1021,1232.297033,11,449.8337947
wujiaochang,Wujiaochang,1,22,99765.51194,-581045.9787,1233.231618,12,292.5841504
wujiaochang,Wujiaochang,1,23,99705.62092,-580994.5981,1243.078033,13,349.7387874
wujiaochang,Wujiaochang,1,24,99785.46209,-580941.4625,1247.382228,14,267.2584381
wujiaochang,Wujiaochang,1,25,99854.27285,-580887.9191,1251.132189,15,195.7723798
wujiaochang,Wujiaochang,1,26,99851.29059,-580837.7707,1262.056197,13,196.1595268
wujiaochang,Wujiaochang,1,27,99863.1365,-580785.4468,1265.956333,14,181.6243775
wujiaochang,Wujiaochang,1,28,99884.67439,-580734.766,1261.621382,16,157.4958787
wujiaochang,Wujiaochang,1,29,99829.325,-580681.9452,1260.835757,14,210.0421437
wujiaochang,Wujiaochang,1,30,99886.19798,-580626.7688,1246.458781,16,150.39334
wujiaochang,Wujiaochang,1,31,101354.0775,-580564.9206,230.1378381,81,1318.721667
wujiaochang,Wujiaochang,1,32,100826.0265,-580526.4617,688.5927389,31,793.3643293
wujiaochang,Wujiaochang,1,33,100620.9311,-580454.9802,1113.526522,23,592.2375697
wujiaochang,Wujiaochang,1,34,101492.5865,-580423.3471,127.3247698,126,1464.362287
wujiaochang,Wujiaochang,1,35,99955.67472,-580356.7383,1229.507945,12,67.05423497
wujiaochang,Wujiaochang,1,36,99911.39613,-580299.1202,1233.788729,11,108.2961843
wujiaochang,Wujiaochang,1,37,99911.00447,-580241.6627,1242.858674,11,105.7195525
wujiaochang,Wujiaochang,1,38,99866.85433,-580185.649,1248.065049,10,146.9156781
wujiaochang,Wujiaochang,1,39,99811.68937,-580130.1688,1250.908854,9,199.1377171
wujiaochang,Wujiaochang,1,40,99862.66505,-580075.8573,1254.98286,10,145.4247359
wujiaochang,Wujiaochang,1,41,99999.19024,-580022.3032,1263.524129,11,6.348555839
wujiaochang,Wujiaochang,1,42,100017.4856,-579973.0404,1269.763058,13,14.51202822
wujiaochang,Wujiaochang,1,43,100082.1005,-579921.4219,1277.989998,15,81.70203596
wujiaochang,Wujiaochang,1,44,99905.12685,-579869.6213,1283.584956,12,92.3604687
wujiaochang,Wujiaochang,1,45,100005.9159,-579813.2936,1290.640153,12,11.21185298
wujiaochang,Wujiaochang,1,46,99935.2845,-579759.4065,1297.340024,16,56.55139232
wujiaochang,Wujiaochang,1,47,99887.89297,-579704.2058,1299.288533,15,101.0225891
wujiaochang,Wujiaochang,1,48,99865.81936,-579651.6362,1305.265036,14,120.3478152
